#This is a file containing the parameters and errors involved in the best fit of a KIC's time vs frequency data                                                                                                                                                                                
           #KIC               N     best degree       chiSquare             X^3             X^2             X^1             X^0          Error3          Error2          Error1          Error0
      001572802              14               0          0.4678               0               0               0          0.0697               0               0               0          0.0269
      001721614              11               0          0.0981               0               0               0          0.0328               0               0               0          0.0130
      001783204               0               0             nan               0               0               0             nan               0               0               0             nan
      002305277              14               0          0.8631               0               0               0          0.0667               0               0               0          0.0437
      002985366              11               0          2.0088               0               0               0          0.0801               0               0               0          0.0864
      003234139              13               0          0.0649               0               0               0          0.0395               0               0               0          0.0131
      003441906              12               0          0.3067               0               0               0          0.0371               0               0               0          0.0233
      003539331              14               0          0.2984               0               0               0          0.0471               0               0               0          0.0283
      003557532               6               0          0.0787               0               0               0          0.0317               0               0               0          0.0094
      003832966              13               0          0.5431               0               0               0          0.0560               0               0               0          0.0490
      004349043              15               0          0.1605               0               0               0          0.0330               0               0               0          0.0189
      005033682              18               0          1.6876               0               0               0          0.2594               0               0               0          0.0971
      009511937              14               0          1.3103               0               0               0          0.0812               0               0               0          0.0590
