#This is a file containing the parameters and errors involved in the best fit of a KIC's time vs frequency data                                                                                                                                                                                
           #KIC               N     best degree       chiSquare             X^3             X^2             X^1             X^0          Error3          Error2          Error1          Error0
      001572802               7               0          2.2782               0               0               0          0.5190               0               0               0          0.1439
      001721614              17               0          1.2013               0               0               0          0.2017               0               0               0          0.0789
      001783204              17               0          0.9479               0               0               0          0.2153               0               0               0          0.0732
      002305277               6               0         12.6490               0               0               0          0.4080               0               0               0          0.2669
      002985366               7               0         12.9730               0               0               0          0.7118               0               0               0          0.3485
      003234139              17               0          0.6001               0               0               0          0.2103               0               0               0          0.0520
      003441906              16               0          0.8018               0               0               0          0.3058               0               0               0          0.0793
      003539331              16               0          1.0049               0               0               0          0.6073               0               0               0          0.1356
      003557532              14               0          1.7052               0               0               0          0.5301               0               0               0          0.1180
      003832966              17               0          1.5171               0               0               0          0.3789               0               0               0          0.1514
      004349043              17               0          0.5416               0               0               0          0.5275               0               0               0          0.0716
      005033682               7               0          1.1217               0               0               0          0.7278               0               0               0          0.1135
      009511937               7               0          3.5714               0               0               0          0.4646               0               0               0          0.1790
