#This is a file containing the parameters and errors involved in the best fit of a KIC's time vs frequency data                                                                                                                                                                                
           #KIC               N     best degree       chiSquare             X^3             X^2             X^1             X^0          Error3          Error2          Error1          Error0
      001572802              10               0          2.7249               0               0               0          0.4575               0               0               0          0.1459
      001721614              17               0          0.6669               0               0               0          0.1148               0               0               0          0.0450
      001783204              16               0          0.6863               0               0               0          0.0914               0               0               0          0.0430
      002305277              11               0          6.7469               0               0               0          0.3502               0               0               0          0.2052
      002985366              12               0         15.3766               0               0               0          0.6560               0               0               0          0.3421
      003234139              17               0          0.8701               0               0               0          0.1305               0               0               0          0.0530
      003441906              16               0          0.9177               0               0               0          0.1317               0               0               0          0.0519
      003539331              16               0          0.4838               0               0               0          0.3023               0               0               0          0.0697
      003557532              14               0          1.5976               0               0               0          0.2414               0               0               0          0.0886
      003832966              17               0          1.5106               0               0               0          0.2140               0               0               0          0.1546
      004349043              17               0          0.6129               0               0               0          0.2704               0               0               0          0.0572
      005033682              11               0          1.7722               0               0               0          0.6935               0               0               0          0.1422
      009511937              12               0          2.9051               0               0               0          0.4833               0               0               0          0.1533
